COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
CÔNG TY CỔ PHẦN SUBE VIỆT NAM,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Vận Hành Sàn TMĐT,Hà Nội,12,20,12-20
CÔNG TY CỔ PHẦN T - MARTSTORES,0-1 năm,,Nhân Viên Phụ Kho Thực Phẩm (Ca Đêm),Hà Nội,9.6,10.3,9.6-10.3
CÔNG TY CỔ PHẦN TÀI NGUYÊN TRI THỨC VIỆT NĂNG,1 năm,Công nghệ thông tin,Sales Executive/Nhân Viên Kinh Doanh/Tư Vấn Phần Mềm Nhân Sự - Hỗ Trợ Data - Lương Cứng Từ 8 Triệu,Hồ Chí Minh,15,0,15
CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,3 năm,"Chăm sóc khách hàng,Vận hành",Quản Lý Quan Hệ Khách Hàng( CRM) Ngành F&B - Thu Nhập 14 - 18 Triệu Tại Hà Nội,Hà Nội,14,18,14-18
CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,3 năm,"Giáo dục,Đào tạo",Chuyên Viên Đào Tạo Ngành F&B Lương 14-20tr,Hà Nội,14,20,14-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,0-1 năm,"Du lịch,Khách sạn",Nhân Viên Lễ Tân Khách Sạn,Hải Dương,8,9,8-9
CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,2 năm,"Marketing,PR,QC",Chuyên Viên Content Marketing (CV + Portfolio),Hà Nội,12,20,12-20
Công Ty Cổ Phần Tập Đoàn Babylons,0,"Marketing,PR,QC",Trợ Lý Dự Án - Thu Nhập Hấp Dẫn Upto 15 Triệu - Đi Làm Ngay,Hà Nội,15,0,15
Công Ty Cổ Phần Tập Đoàn Công Nghiệp Việt,1 năm,"BĐS,Xây dựng",Kỹ Sư Giám Sát Cơ Điện (Lương Cứng 15 - 20 Triệu),"Hưng Yên, Hà Nam",15,20,15-20
Công Ty Cổ Phần Tập Đoàn Công Nghiệp Việt,1 năm,"BĐS,Xây dựng",Kỹ Sư QS / Kỹ Sư Dự Toán / Quantity Surveyor (Lương Cứng 15 - 20 Triệu),Hưng Yên,15,20,15-20
Công Ty Cổ Phần Tập Đoàn Công Nghiệp Việt,1 năm,"Điện,Điện tử viễn thông",Kỹ Sư Giám Sát Cơ Điện (Lương Cứng 15 - 20 Triệu),"Hưng Yên, Hà Nam",15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ BẢO NGỌC,3 năm,"Bán lẻ,Dịch vụ đời sống",Trưởng Phòng Kinh Doanh Kênh KA Thu Nhập 25 - 35 Triệu,Hà Nội,25,35,25-35
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ BẢO NGỌC,3 năm,"Kinh doanh,Bán hàng",Trưởng Phòng Kinh Doanh Kênh KA Thu Nhập 25 - 35 Triệu,Hà Nội,25,35,25-35
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ BẢO NGỌC,3 năm,"Marketing,PR,QC",Trưởng Phòng Trade Marketing,Hà Nội,25,40,25-40
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ MIỀN NAM,0,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Tư Vấn Bán Hàng Ô Tô ( Thu Nhập Hấp Dẫn + Hoa Hồng ) - Đi Làm Ngay- Không Yêu Cầu Kinh Ngh...,Hồ Chí Minh,30,0,30
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ MIỀN NAM,0,"Kinh doanh,Bán hàng","Nhân Viên Bán Hàng - Không Yêu Cầu Kinh Nghiệm Tại Tasco Mall Long Biên, Hà Nội - Thu Nhập Hấp Dẫn -...",Hồ Chí Minh,30,0,30
Công ty cổ phần Tập đoàn Everland,3 năm,Luật,Chuyên Viên Quan Hệ Cổ Đông,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN TẬP ĐOÀN GDC,2 năm,"Điện,Điện tử viễn thông",Chuyên Viên Đấu Thầu Cơ Điện,Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN GDC,2 năm,"Điện,Điện tử viễn thông",Kỹ Sư QA/QC Cơ Điện,Hải Phòng,15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN GDC,2 năm,"Điện,Điện tử viễn thông",Kỹ Sư QS Cơ Điện,Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN GIÁO DỤC TRÍ VIỆT,1 năm,"Du lịch,Khách sạn",Nhân Viên Tư Vấn/ Kinh Doanh Phát Triển Thị Trường (Thu Nhập Cao),Hà Nội,30,0,30
Công ty Cổ phần Tập đoàn Hoa Sen,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh - Toàn Quốc,Hồ Chí Minh,10,12,10-12
Công ty Cổ phần Tập đoàn Hoa Sen,0-1 năm,Biên phiên dịch,Chuyên Viên Nghiên Cứu - Phát Triển Sản Phẩm Mới (Tiếng Trung),Hồ Chí Minh,12,20,12-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN HTM,5 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp (Lương 16 Triệu - 18 Triệu) - Đi Làm Ngay,Hồ Chí Minh,16,18,16-18
Công ty Cổ phần Tập đoàn INDEVCO,1 năm,Luật,Chuyên Viên Kiểm Tra Tuân Thủ,Quảng Ninh,12,20,12-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN KABE,5+ năm,"Du lịch,Khách sạn",Giám Đốc Kinh Doanh - Mảng Du Lịch,"Hồ Chí Minh, Hà Nội",0,0,0
Công ty cổ phần tập đoàn Minh Anh,3 năm,Luật,Compliance Officer,Hà Nội,0,0,0
Công ty cổ phần tập đoàn Nhựa Super Trường Phát,2 năm,Luật,Chuyên Viên Dự Án,Hà Nội,15,22,15-22
Công ty Cổ phần Tập đoàn Onsen Fuji,1 năm,"Du lịch,Khách sạn",Nhân Viên Kinh Doanh Du Lịch,Hà Nội,10,15,10-15
Công ty Cổ phần Tập đoàn Onsen Fuji,1 năm,Luật,Chuyên Viên Hỗ Trợ Đại Lý,Hà Nội,12,17,12-17
Công ty Cổ phần Tập đoàn Onsen Fuji,3 năm,"Du lịch,Khách sạn",Trưởng Bộ Phận Buồng Phòng,Phú Thọ,25,40,25-40
Công ty Cổ phần Tập đoàn OSB,1 năm,"Chăm sóc khách hàng,Vận hành",Customer Service/ Nhân Viên Chăm Sóc Khách Hàng,Hà Nội,11,17,11-17
CÔNG TY CỔ PHẦN TẬP ĐOÀN PICENZA VIỆT NAM,5 năm,Luật,"Chuyên Viên Pháp Lý Dự Án (Nam, Mức Lương 20 - 25 Triệu)",Hà Nội,20,25,20-25
CÔNG TY CỔ PHẦN TẬP ĐOÀN SEN TÀI THU VIỆT NAM,3 năm,Luật,Công Chứng Viên,Vĩnh Phúc,25,35,25-35
CÔNG TY CỔ PHẦN TẬP ĐOÀN TÂM ĐỨC PHÁT,1 năm,"Du lịch,Khách sạn",Nhân Viên Lễ Tân Nha Khoa,Bắc Ninh,6,8,6-8
Công ty cổ phần tập đoàn Thang máy & Thiết bị An Bình,0,"BĐS,Xây dựng",Nhân Viên Telesale/ Kinh Doanh Thang Máy ( Không Yêu Cầu Kinh Nghiệm),"Hưng Yên, Hà Nội",15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN Á,3 năm,Biên phiên dịch,Phiên Dịch Viên Tiếng Trung,Bà Rịa-Vũng Tàu,0,0,0
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,0,"BĐS,Xây dựng",Cộng Tác Viên Sales BĐS Nhà Phố Làm Việc Tại Các Quận TP.HCM (Tự Do Thời Gian),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh - Tư Vấn - Tự Do Thời Gian Thu Nhập Từ 36 Triệu (Không Y/C Kinh Nghiệm),Hà Nội,36,0,36
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,0,"BĐS,Xây dựng",Thực Tập Sinh Thẩm Định Nhà Phố - Không Cần Kinh Nghiệm - Đào Tạo Thực Chiến 1:1 - Thu Nhập 36Tr/Thá...,Hồ Chí Minh,36,0,36
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,0,"Kinh doanh,Bán hàng",Nhân Viên Kế Toán Thuế,Hà Nội,36,0,36
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,0,"Kinh doanh,Bán hàng",Thực Tập Sinh Kinh Doanh/Telesales,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TẬP ĐOÀN VISIMEX,1 năm,,Nhân Viên Mua Hàng,Bình Dương,9,12,9-12
CÔNG TY CỔ PHẦN TẬP ĐOÀN VITECH,0,Công nghệ thông tin,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn - Làm Việc Tại Văn Phòng - Thu Nhập Trung Bình Từ 15 Triệu Trở L...,Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN TẬP ĐOÀN XUẤT - NHẬP KHẨU TRÁI CÂY CHÁNH THU,2 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp,Bến Tre,0,0,0
công ty cổ phần Techino,2 năm,"BĐS,Xây dựng",Kỹ Sư Thiết Kế Dự Án SmartHome Tại Vinh - Nghệ An,Nghệ An,0,0,0
CÔNG TY CỔ PHẦN THẾ GIỚI TÚI VẢI,2 năm,,Nhân Viên Thủ Kho,Long An,9,12,9-12
CÔNG TY CỔ PHẦN THE ONE VIỆT NAM,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Trưởng- Thu Nhập 15- 20 Triệu/ Tháng- Đi Làm Ngay,Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN THÉP VÀ VẬT TƯ XÂY DỰNG,2 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Công Nợ (Lương 12 - 14 Triệu),Hà Nội,12,14,12-14
Công ty Cổ phần Thiên Phát Logistics Việt Nam,1 năm,,Phó Giám Đốc Kinh Doanh/Logistics,Hà Nội,20,30,20-30
Công ty Cổ phần Thiên Phát Logistics Việt Nam,5 năm,,Trưởng Phòng Kinh Doanh Logistics,Hà Nội,20,30,20-30
CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,3 năm,Công nghệ thông tin,Kỹ Sư Tư Vấn Giải Pháp Kỹ Thuật - Thu Nhập 15-25 Triệu - Hà Nội,Hà Nội,15,25,15-25
CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,3 năm,"Kinh doanh,Bán hàng",Kỹ Sư Tư Vấn Giải Pháp Kỹ Thuật - Thu Nhập 15-25 Triệu - Hà Nội,Hà Nội,15,25,15-25
CÔNG TY CỔ PHẦN THIẾT BỊ VÀ DỊCH VỤ QUỐC TẾ,1 năm,"Kinh doanh,Bán hàng","Nhân Viên Kinh Doanh - Tư Vấn Giải Pháp Quản Lý Số Chuỗi Nhà Hàng, Quán Cafe",Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THIẾT BỊ VÀ DỊCH VỤ TCE,3 năm,Biên phiên dịch,Nhân Viên CRM Tiếng Trung,Hà Nội,14,16,14-16
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,0-1 năm,Biên phiên dịch,Chuyên Viên Dự Án Tiếng Trung (Tại Hà Nội),Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,1 năm,"Điện,Điện tử viễn thông","Kỹ Sư MEP - Thu Nhập 15-20 Triệu, Hỗ Trợ Ăn Ở (Bắc Ninh, Hải Dương, Quảng Ninh)",Bắc Ninh,15,20,15-20
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY LẮP TDI E & C,2 năm,"BĐS,Xây dựng",Kỹ Sư Thiết Kế Và Triển Khai PCCC - Thu Nhập 18- 25 Triệu/ Tháng- Tại Hà Nội,Hà Nội,18,25,18-25
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY LẮP TDI E & C,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp - Thu Nhập 15- 16 Triệu/ Tháng- Đi Làm Ngay,Hà Nội,13,15,13-15
CÔNG TY CỔ PHẦN THỜI TRANG QUỐC TẾ HƯƠNG GIANG INTERFA GROUP,3 năm,"Marketing,PR,QC",Trưởng Phòng Marketing,Hà Nội,20,30,20-30
Công ty cổ phần thời trang Xinh Xinh,1 năm,"Marketing,PR,QC",Nhân Viên Video Editor Yêu Cầu Từ 1 Năm Kinh Nghiệm,Hải Phòng,9,15,9-15
Công ty cổ phần Thuận Hải,2 năm,Biên phiên dịch,Phiên Dịch Viên Tiếng Nhật,Hồ Chí Minh,0,0,0
Công Ty Cổ Phần Thực phẩm & Đồ uống SW,2 năm,"Du lịch,Khách sạn",Nhân Viên Lễ Tân Nhà Hàng (Giao Tiếp Tiếng Anh Hoặc Tiếng Hàn) - Làm Việc Tại Quận 1/ Bình Thạnh,Hồ Chí Minh,8.5,12,8.5-12
CÔNG TY CỔ PHẦN THỰC PHẨM VÀ ĐỒ UỐNG TTC,3 năm,"Bán lẻ,Dịch vụ đời sống",Trưởng Kênh GT Làm Việc Tại Hà Nội,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THỰC PHẨM VÀ ĐỒ UỐNG TTC,3 năm,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh Thu Nhập Ổn Định Upto 20 Triệu Đi Làm Ngay - Mảng Thiết Bị Gia Dụng,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THUỐC THÚ Y - THỦY SẢN THỊNH PHÚ,1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Thanh Toán,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ MOOV,0,,Nhân Viên Điều Phối Vận Tải & Quản Lý Đối Tác,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ QUỐC TẾ VIỆT PHÁT,0-1 năm,"Giáo dục,Đào tạo",Tìm Giáo Viên Tiếng Nhật,Đắk Lắk,0,0,0
Công ty cổ phần thương mại đầu tư DATHACO,2 năm,Công nghệ thông tin,"Chuyên Viên Thiết Kế /Graphic Designer- Từ 02 Kinh Nghiệm, Thu Nhập Từ 15 Triệu - Quận 12 Hồ Chí Min...",Hồ Chí Minh,13,18,13-18
Công ty cổ phần thương mại đầu tư DATHACO,2 năm,"Marketing,PR,QC","Chuyên Viên Thiết Kế /Graphic Designer- Từ 02 Kinh Nghiệm, Thu Nhập Từ 15 Triệu - Quận 12 Hồ Chí Min...",Hồ Chí Minh,13,18,13-18
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM,0-1 năm,"Bán lẻ,Dịch vụ đời sống",Cửa Hàng Trưởng,Hà Nội,9,10,9-10
Công ty cổ phần thương mại dịch vụ và công nghệ Hoàng Long,1 năm,"Chăm sóc khách hàng,Vận hành","Nhân Viên Chăm Sóc Khách Hàng - Lĩnh Vực Máy Tính,Pc - Thu Nhập 8-15tr",Hà Nội,8,15,8-15
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ WE ARE ONE,1 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Kinh Doanh / Tư Vấn/ Sales/ Sales Executive (Thu Nhập 8-25 Triệu) (Nam) - Thu Nhập Hấp Dẫn...,"Hồ Chí Minh, Hà Nội",10,20,10-20
CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ QUANG DƯƠNG,0,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật - Kỹ Thuật Bán Hàng Thiết Bị Y Tế (Sales Engineer) - Đãi Ngộ Hấp Dẫn - Làm Việc T...,Hà Nội,7.5,15,7.5-15
CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ SKYLIGHT,0,"Chăm sóc khách hàng,Vận hành","Nhân Viên Tư Vấn, Chăm Sóc Khách Hàng Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn",Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ VÀ PCCC BẮC TRUNG NAM,1 năm,Biên phiên dịch,Phiên Dịch Viên Tiếng Trung,Quảng Ninh,12,18,12-18
CÔNG TY CỐ PHẦN THƯƠNG MẠI QUỐC TẾ ZOTEX,0-1 năm,"Marketing,PR,QC","Content Creator ( Chỉ Tuyển Nữ ) Tại Hoàng Mai, Hà Nội - Thu Nhập Hấp Dẫn - Đi Làm Ngay",Hà Nội,8,12,8-12
CÔNG TY CỔ PHẦN THƯƠNG MẠI SIM BA,2 năm,,"Nhân Viên Kho Phụ Trách Xuất Hàng Đông Có Kinh Nghiệm Và Kiến Thức QA (Nam)/ (HCM, Hà Nội)","Hồ Chí Minh, Hà Nội",9,12,9-12
CÔNG TY CỔ PHẦN THƯƠNG MẠI SIM BA,2 năm,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật Điện-Điện Lạnh ( Hà Nội/ Nam) Thu Nhập 10-15 Triệu,Hà Nội,10,15,10-15
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT,0,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật IT- Điện - Điện Tử [ Hoàng Mai- Hà Nội Và Tân Bình - HCM ] – Thu Nhập Từ 9 Đến 12...,"Hà Nội, Hồ Chí Minh",9,12,9-12
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG HƯNG THỊNH,2 năm,"BĐS,Xây dựng",Kỹ Sư Xây Dựng/ Kỹ Sư Hiện Trường - Trợ Lý Phòng Kế Hoạch,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CHUYỂN PHÁT NHANH SKY VIỆT NAM,0,,Nhân Viên Kinh Doanh Chuyển Phát Nhanh/Logistics Tại Hà Nội - Thu Nhập 10-20tr,Hà Nội,10,20,10-20
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ MAI ĐẾN,1 năm,Công nghệ thông tin,Nhân Viên Kỹ Thuật IT,Hà Nội,10,15,10-15
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ KỸ NGHỆ KOS,0,"Kế toán,Kiểm toán,Thuế",Kế Toán Nội Bộ (Thu Nhập 8 Đến 15 Triệu),Hà Nội,8,15,8-15
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ SẢN XUẤT KIM KHÍ VIỆT ĐỨC,1 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán/Kế Toán Tổng Hợp - Mức Lương 12 -15 Triệu - Khu Vực Hoài Đức,Hà Nội,12,15,12-15
Công ty Cổ phần Thương mại và Sản xuất Nội thất HD,1 năm,"BĐS,Xây dựng",Nhân Viên Kinh Doanh - Sales - Tư Vấn Nội Thất - Thu Nhập 25 - 30 Triệu,Hà Nội,25,30,25-30
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VẬT TƯ GIAO THÔNG,1 năm,,Nhân Viên Thủ Kho,Hải Phòng,9,11,9-11
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VTECH365 VIỆT NAM,1 năm,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Kinh Doanh Livestream - Thu Nhập Hấp Dẫn, Lên Đến 30 Triệu Đồng - 1 Năm Kinh Nghiệm - Nữ",Hà Nội,10,30,10-30
Công Ty Cổ Phần Thương Mại VJO Việt Nam,2 năm,"Kế toán,Kiểm toán,Thuế","Kế Toán Tổng Hợp Tối Thiểu 2 Năm Kinh Nghiệm (Lương 13-18 Triệu) Làm Việc Tại Ba Đình, Hà Nội",Hà Nội,13,18,13-18
CÔNG TY CỔ PHẦN TIẾP VẬN ATT VIỆT NAM,0-1 năm,Biên phiên dịch,Nhân Viên Chứng Từ XNK (Thạo Tiếng Trung Quốc),Hà Nội,10,15,10-15
CÔNG TY CỔ PHẦN TIERRA,0-1 năm,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Tư Vấn Và Chăm Sóc Khách Hàng Có Kinh Nghiệm - Tuyển Nữ (Thu Nhập Cứng 9 - 12 Triệu, Tổng...","Hà Nội, Hồ Chí Minh",12,20,12-20
Công ty Cổ Phần tin học Mai Hoàng,1 năm,Công nghệ thông tin,Nhân Viên Kinh Doanh Phân Phối Linh Kiện Máy Tính/Sale B2B (Lương Thưởng Hấp Dẫn Không Giới Hạn),Hà Nội,12,50,12-50
Công Ty Cổ Phần Tổ Chức Giáo Dục và Nhân lực AVT,1 năm,"Giáo dục,Đào tạo",Giáo Viên Tiếng Đức,"Hà Nội, Hồ Chí Minh",25,50,25-50
Công Ty Cổ Phần Tổ Chức Nhà Quốc Gia (NATIONAL HOUSING ORGANIZATION JSC),3 năm,Luật,Senior Project Legal Staff (Fluent In English),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TỐC ĐỘ,1 năm,,Nhân Viên Dvkh Trucking Kiêm Thủ Tục Hải Quan - Hồ Chí Minh,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TỐC ĐỘ,1 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Tiền Mặt - Thủ Quỹ,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TỐC ĐỘ,2 năm,,Nhân Viên Dịch Vụ Khách Hàng Chứng Từ (Có Kinh Nghiệm),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TỐC ĐỘ,2 năm,"Kinh doanh,Bán hàng",Agency Sales Executive - Hcm,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TỐC ĐỘ,3 năm,"Marketing,PR,QC",Marketing Manager,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TÔN THÉP VIỆT PHÁP,2 năm,"BĐS,Xây dựng","Nhân Viên Cơ Điện [Hải An - Hải Phòng] - Thu Nhập Upto 19Tr+++, Tối Thiểu 2 Năm Kinh Nghiệm",Hải Phòng,12,19,12-19
CÔNG TY CỔ PHẦN TÔN THÉP VIỆT PHÁP,2 năm,"Điện,Điện tử viễn thông","Nhân Viên Cơ Điện [Hải An - Hải Phòng] - Thu Nhập Upto 19Tr+++, Tối Thiểu 2 Năm Kinh Nghiệm",Hải Phòng,12,19,12-19
CÔNG TY CỔ PHẦN TÔN THÉP VIỆT PHÁP,3 năm,"Kế toán,Kiểm toán,Thuế","Kế Toán Tổng Hợp [Hải An - Hải Phòng] - Lương Cơ Bản Upto 20Tr+++, Tối Thiểu 3 Năm Kinh Nghiệm",Hải Phòng,16,20,16-20
Công ty Cổ phần TOPCV Việt Nam,3 năm,"Chăm sóc khách hàng,Vận hành",Trưởng Nhóm Kiểm Soát Chất Lượng & Quản Trị Rủi Ro,Hà Nội,0,0,0
Công ty Cổ phần TOPCV Việt Nam,3 năm,Công nghệ thông tin,PHP Technical Leader,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN TRANG TRÍ NỘI THẤT P.I.P,4 năm,"BĐS,Xây dựng",Giám Sát Công Trình / Kỹ Sư Hiện Trường,Hồ Chí Minh,12,18,12-18
CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM,4 năm,"Bán lẻ,Dịch vụ đời sống",Giám Sát Quầy Chế Biến Thực Phẩm Siêu Thị Lotte Mart,Hồ Chí Minh,10,14,10-14
Công Ty Cổ Phần Truyền Thông Kim Cương,0,"Chăm sóc khách hàng,Vận hành","Nhân Viên Chăm Sóc Khách Hàng Điện Lực Evn Tại Bến Nghé, Quận 1, Hồ Chí Minh",Hồ Chí Minh,6,10,6-10
Công Ty Cổ Phần Truyền Thông Kim Cương,0,"Chăm sóc khách hàng,Vận hành","Nhân Viên Chăm Sóc Khách Hàng Viettel Tại Bắc Từ Liêm, Hà Nội",Hà Nội,7,9,7-9
CÔNG TY CỔ PHẦN TRUYỀN THÔNG PHẠM SƠN,2 năm,"Kế toán,Kiểm toán,Thuế",Senior Kế Toán Tài Chính (Chuyên Viên Cao Cấp),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN TRUYỀN THÔNG T&T SOLUTIONS,1 năm,"Bán lẻ,Dịch vụ đời sống","Marketing Leader/Trưởng Nhóm Marketing Tại Ba Đình, Hà Nội",Hà Nội,0,0,0
CÔNG TY CỔ PHẦN TRUYỀN THÔNG T&T SOLUTIONS,1 năm,"Marketing,PR,QC","Marketing Leader/Trưởng Nhóm Marketing Tại Ba Đình, Hà Nội",Hà Nội,0,0,0
Công ty Cổ phần Truyền Thông Tập Trung Mặt Trời Vàng,1 năm,"Marketing,PR,QC","Chuyên Viên Kinh Doanh Dịch Vụ Quảng Cáo [Hà Nội] - Lương Cố Định 8-13Tr + Hoa Hồng Hấp Dẫn, Đào Tạo...",Hà Nội,13,30,13-30
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ ĐẠI VIỆT,1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Viên,Hồ Chí Minh,8,12,8-12
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ ENJOHUB,2 năm,Công nghệ thông tin,Trưởng Nhóm Sản Xuất Phim Hoạt Hình 2D Kids Songs Thu Nhập 13 -16 Triệu,Hà Nội,13,16,13-16
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ ENJOHUB,2 năm,"Marketing,PR,QC",Trưởng Nhóm Sản Xuất Phim Hoạt Hình 2D Kids Songs Thu Nhập 13 -16 Triệu,Hà Nội,13,16,13-16
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ HUTA MEDIA,1 năm,"Marketing,PR,QC",Nhân Viên SEO Marketing (Thu Nhập 8 - 20 Triệu),"Hà Nội, Hải Phòng",8,20,8-20
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ QUẢNG CÁO MIC CREATIVE,1 năm,"Marketing,PR,QC",Nhân Viên Content SEO Lương Từ 9 Đến 12 Triệu,Hà Nội,9,12,9-12
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ QUẢNG CÁO MIC CREATIVE,1 năm,"Marketing,PR,QC",Nhân Viên Content SEO Tiếng Anh - Lương Từ 09 Đến 15 Triệu Đồng,Hà Nội,9,15,9-15
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ QUẢNG CÁO MIC CREATIVE,1 năm,"Marketing,PR,QC",Nhân Viên SEO - Có 1 Năm Kinh Nghiệm (Đi Làm Ngay),Hà Nội,8,12,8-12
CÔNG TY CỔ PHẦN TRUYỀN THÔNG XU HƯỚNG SỐ,1 năm,"Marketing,PR,QC",Business Developer,Hồ Chí Minh,15,40,15-40
CÔNG TY CỔ PHẦN TƯ VẤN CHẤT LƯỢNG PHƯƠNG NAM,0,"Marketing,PR,QC",Nhân Viên Kinh Doanh/ Telesales/ Tư Vấn - Lĩnh Vực Truyền Thông/ Quảng Cáo - Không Yêu Cầu Kinh Nghi...,Hồ Chí Minh,15,0,15
