COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
CHI NHÁNH CÔNG TY TNHH TM LIÊN PHÁT KHOA VIỆT NAM,0-1 năm,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bán Hàng Chuyên Máy Hàn Lương Cứng Từ 10 -15 Triệu + Hoa Hồng T...,Hà Nội,15,0,15
CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THIÊN KHÔI,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh/Tư Vấn/Sales Bất Động Sản Tại Hà Nội Thu Nhập Từ 30 Triệu - Tự Do Thời Gian,Hà Nội,30,100,30-100
CHI NHÁNH HỒ CHÍ MINH - CÔNG TY TNHH ASTART MEDIA,0-1 năm,Biên phiên dịch,Phiên Dịch Viên Tiếng Trung (HSK5/ Du Học Sinh),Hồ Chí Minh,15,18,15-18
Chi nhánh kỹ thuật Viettel Đắk Lắk,1 năm,"Điện,Điện tử viễn thông",Kỹ Sư Thiết Kế (B2B),Đắk Lắk,0,0,0
CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG VIỆT NAM,0,Biên phiên dịch,Phiên Dịch TIếng Trung Hiện Trường,Hà Nội,0,0,0
CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG VIỆT NAM,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp (Định Hướng Lên Kế Toán Trưởng/ Kế Toán Phó) Kinh Nghiệm Từ 3 Năm,Hà Nội,15,20,15-20
Circle K Viet Nam Ltd. Co.,2 năm,Công nghệ thông tin,Chuyên Viên Hỗ Trợ Kỹ Thuật CNTT,Hà Nội,0,0,0
Compass Travel Vietnam,1 năm,"Du lịch,Khách sạn",Nhân Viên Điều Hành Tour Inbound,Hà Nội,15,30,15-30
CÔNG TY CHO THUÊ TÀI CHÍNH TNHH BIDV - SUMI TRUST,2 năm,"Kinh doanh,Bán hàng",Chuyên Viên Kinh Doanh Bậc Cao – Tư Vấn Mảng Tài Chính Ngân Hàng (Sales Phát Triển Thị Trường)_ BIDV...,Hà Nội,0,0,0
Công ty chuyển phát nhanh Thuận Phong chi nhánh Hồ Chí Minh (J&T Express),0,,Nhân Viên Kinh Doanh Thị Trường (Không Yêu Cầu Kinh Nghiệm) - Hồ Chí Minh,Hồ Chí Minh,15,25,15-25
Công ty Cổ phần 1OFFICE,0-1 năm,Công nghệ thông tin,Nhân Viên Tư Vấn Giải Pháp/Sale B2B/Nhân Viên Kinh Doanh Lương Cứng Upto 15M- Thu Nhập Lên Tới 30M/T...,"Hà Nội, Hồ Chí Minh",15,30,15-30
CÔNG TY CỔ PHẦN A.R.T,0,"Điện,Điện tử viễn thông",Nhân Viên Tích Hợp Hệ Thống Làm Việc Tại Hà Nội - Chỉ Nhận CV Tiếng Việt,Hà Nội,9,12,9-12
CÔNG TY CỔ PHẦN A25 HOTEL,3 năm,"Du lịch,Khách sạn",Giám Đốc Khách Sạn 2-3 Sao,Hà Nội,22,50,22-50
CÔNG TY CỔ PHẦN ACAC ACADEMY,0-1 năm,"Giáo dục,Đào tạo","Nhân Viên Kinh Doanh/Tư Vấn Tuyển Sinh/Khóa Học (Thu Nhập 20M++, Data Sẵn, Ưu Tiên Nữ)",Hà Nội,10,20,10-20
CÔNG TY CỔ PHẦN ACAC ACADEMY,0-1 năm,"Kinh doanh,Bán hàng","Nhân Viên Kinh Doanh/Tư Vấn Tuyển Sinh/Khóa Học (Thu Nhập 20M++, Data Sẵn, Ưu Tiên Nữ)",Hà Nội,10,20,10-20
CÔNG TY CỔ PHẦN ALTIUS LINK VIỆT NAM,1 năm,Biên phiên dịch,"Trưởng Nhóm Dữ Liệu Tiếng Nhật JLPT N1, N2_NK",Hà Nội,12,16,12-16
CÔNG TY CỔ PHẦN ÂM NHẠC VÀ CÔNG NGHỆ MOONSHOTS,0,"Marketing,PR,QC",Trợ Lý Marketing Âm Nhạc/Music Marketing Assistant/ Operations & Support Assistant (Music Industry)...,Hà Nội,15,21,15-21
Công ty cổ phần an thịnh tiến plastic,0-1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Bán Hàng- Dưới 01 Năm Kinh Nghiệm - Đi Làm Ngay Tại Duy Tiên - Hà Nam,Hà Nam,8,12,8-12
Công Ty Cổ Phần Asia Tour Deals,1 năm,"Du lịch,Khách sạn",Nhân Viên Kinh Doanh Du Lịch Inbount - Yêu Cầu Tiếng Anh Thành Thạo - Thu Nhập Hấp Dẫn - Ngụy Như Ko...,Hà Nội,8,35,8-35
CÔNG TY CỔ PHẦN ASTROPEN,3 năm,Công nghệ thông tin,Manual Tester (Web3) _ 03 Năm Kinh Nghiệm _ Thu Nhập Up To 25M++_ Đi Làm Từ T2-T6 Tại Giảng Võ - HN,Hà Nội,23,25,23-25
CÔNG TY CỔ PHẦN ATOM HOLDING,0-1 năm,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh/Tư Vấn Bán Hàng Ô Tô / Thu Nhập 25 Triệu - 40 Triệu/ Tháng Tại Long Biên,Hà Nội,25,40,25-40
